District,Month,Visitors_domestic,Visitors_foreign,Visitors_total
Adilabad,Jan-2016,792136,2,792138
Adilabad,Feb-2016,937820,0,937820
Adilabad,Mar-2016,582946,2,582948
Adilabad,Apr-2016,341948,0,341948
Adilabad,May-2016,252887,0,252887
Adilabad,Jun-2016,368237,0,368237
Adilabad,Jul-2016,447562,4,447566
Adilabad,Aug-2016,614285,2,614287
Adilabad,Sep-2016,491279,0,491279
Adilabad,Oct-2016,94184,0,94184
Adilabad,Nov-2016,99148,0,99148
Adilabad,Dec-2016,53125,0,53125
Adilabad,Jan-2017,318799,5,318804
Adilabad,Feb-2017,83316,0,83316
Adilabad,Mar-2017,27508,0,27508
Adilabad,Apr-2017,13946,0,13946
Adilabad,May-2017,11752,0,11752
Adilabad,Jun-2017,26859,3,26862
Adilabad,Jul-2017,52386,0,52386
Adilabad,Aug-2017,34876,0,34876
Adilabad,Sep-2017,42699,3,42702
Adilabad,Oct-2017,41666,0,41666
Adilabad,Nov-2017,117322,0,117322
Adilabad,Dec-2017,54251,0,54251
Adilabad,Jan-2018,320356,0,320356
Adilabad,Feb-2018,36550,0,36550
Adilabad,Mar-2018,23011,0,23011
Adilabad,Apr-2018,14183,0,14183
Adilabad,May-2018,8197,0,8197
Adilabad,Jun-2018,12052,0,12052
Adilabad,Jul-2018,24666,2,24668
Adilabad,Aug-2018,38939,3,38942
Adilabad,Sep-2018,25875,0,25875
Adilabad,Oct-2018,30257,0,30257
Adilabad,Nov-2018,49181,0,49181
Adilabad,Dec-2018,61476,0,61476
Adilabad,Jan-2019,25071,0,25071
Adilabad,Feb-2019,406177,2,406179
Adilabad,Mar-2019,14347,0,14347
Adilabad,Apr-2019,9972,0,9972
Adilabad,May-2019,6997,0,6997
Adilabad,Jun-2019,9161,0,9161
Adilabad,Jul-2019,11791,0,11791
Adilabad,Aug-2019,108173,2,108175
Adilabad,Sep-2019,37589,0,37589
Adilabad,Oct-2019,38184,0,38184
Adilabad,Nov-2019,70344,2,70346
Adilabad,Dec-2019,38089,0,38089
Adilabad,Jan-2020,621850,0,621850
Adilabad,Feb-2020,29421,0,29421
Adilabad,Mar-2020,9430,0,9430
Adilabad,Apr-2020,,0,0
Adilabad,May-2020,,0,0
Adilabad,Jun-2020,1909,0,1909
Adilabad,Jul-2020,549,0,549
Adilabad,Aug-2020,654,0,654
Adilabad,Sep-2020,3978,0,3978
Adilabad,Oct-2020,15128,0,15128
Adilabad,Nov-2020,27525,0,27525
Adilabad,Dec-2020,61403,0,61403
Adilabad,Jan-2021,18203,0,18203
Adilabad,Feb-2021,271255,0,271255
Adilabad,Mar-2021,15907,0,15907
Adilabad,Apr-2021,6955,0,6955
Adilabad,May-2021,1191,0,1191
Adilabad,Jun-2021,3407,0,3407
Adilabad,Jul-2021,26885,0,26885
Adilabad,Aug-2021,25338,0,25338
Adilabad,Sep-2021,17672,0,17672
Adilabad,Oct-2021,16095,0,16095
Adilabad,Nov-2021,73753,0,73753
Adilabad,Dec-2021,18484,0,18484
Adilabad,Jan-2022,28423,0,28423
Adilabad,Feb-2022,378787,2,378789
Adilabad,Mar-2022,15469,0,15469
Adilabad,Apr-2022,10266,0,10266
Adilabad,May-2022,11670,0,11670
Adilabad,Jun-2022,10704,0,10704
Adilabad,Jul-2022,16035,0,16035
Adilabad,Aug-2022,20472,0,20472
Adilabad,Sep-2022,21352,0,21352
Adilabad,Oct-2022,22668,0,22668
Adilabad,Nov-2022,66152,0,66152
Adilabad,Dec-2022,25972,0,25972
Bhadradri Kothagudem,Jan-2016, , ,0
Bhadradri Kothagudem,Feb-2016, , ,0
Bhadradri Kothagudem,Mar-2016, , ,0
Bhadradri Kothagudem,Apr-2016, , ,0
Bhadradri Kothagudem,May-2016, , ,0
Bhadradri Kothagudem,Jun-2016, , ,0
Bhadradri Kothagudem,Jul-2016, , ,0
Bhadradri Kothagudem,Aug-2016, , ,0
Bhadradri Kothagudem,Sep-2016, , ,0
Bhadradri Kothagudem,Oct-2016,310133,0,310133
Bhadradri Kothagudem,Nov-2016,252127,0,252127
Bhadradri Kothagudem,Dec-2016,326770,0,326770
Bhadradri Kothagudem,Jan-2017,302315,0,302315
Bhadradri Kothagudem,Feb-2017,251359,0,251359
Bhadradri Kothagudem,Mar-2017,243943,0,243943
Bhadradri Kothagudem,Apr-2017,667459,0,667459
Bhadradri Kothagudem,May-2017,311626,0,311626
Bhadradri Kothagudem,Jun-2017,351742,0,351742
Bhadradri Kothagudem,Jul-2017,258114,0,258114
Bhadradri Kothagudem,Aug-2017,316438,0,316438
Bhadradri Kothagudem,Sep-2017,381784,0,381784
Bhadradri Kothagudem,Oct-2017,334504,0,334504
Bhadradri Kothagudem,Nov-2017,281515,0,281515
Bhadradri Kothagudem,Dec-2017,393518,0,393518
Bhadradri Kothagudem,Jan-2018,421275,0,421275
Bhadradri Kothagudem,Feb-2018,240634,0,240634
Bhadradri Kothagudem,Mar-2018,421275,0,421275
Bhadradri Kothagudem,Apr-2018,341258,0,341258
Bhadradri Kothagudem,May-2018,291273,0,291273
Bhadradri Kothagudem,Jun-2018,290512,0,290512
Bhadradri Kothagudem,Jul-2018,220304,0,220304
Bhadradri Kothagudem,Aug-2018,219548,0,219548
Bhadradri Kothagudem,Sep-2018,334878,0,334878
Bhadradri Kothagudem,Oct-2018,322974,0,322974
Bhadradri Kothagudem,Nov-2018,253464,0,253464
Bhadradri Kothagudem,Dec-2018,442483,0,442483
Bhadradri Kothagudem,Jan-2019,283365,0,283365
Bhadradri Kothagudem,Feb-2019,229159,0,229159
Bhadradri Kothagudem,Mar-2019,225448,0,225448
Bhadradri Kothagudem,Apr-2019,349585,0,349585
Bhadradri Kothagudem,May-2019,275800,0,275800
Bhadradri Kothagudem,Jun-2019,9761776,0,9761776
Bhadradri Kothagudem,Jul-2019,233338,0,233338
Bhadradri Kothagudem,Aug-2019,271941,0,271941
Bhadradri Kothagudem,Sep-2019,314199,0,314199
Bhadradri Kothagudem,Oct-2019,287432,0,287432
Bhadradri Kothagudem,Nov-2019,298366,0,298366
Bhadradri Kothagudem,Dec-2019,287328,0,287328
Bhadradri Kothagudem,Jan-2020,269310,0,269310
Bhadradri Kothagudem,Feb-2020,238140,0,238140
Bhadradri Kothagudem,Mar-2020,79871,0,79871
Bhadradri Kothagudem,Apr-2020,,0,0
Bhadradri Kothagudem,May-2020,,0,0
Bhadradri Kothagudem,Jun-2020,15399,0,15399
Bhadradri Kothagudem,Jul-2020,15130,0,15130
Bhadradri Kothagudem,Aug-2020,26350,0,26350
Bhadradri Kothagudem,Sep-2020,30957,0,30957
Bhadradri Kothagudem,Oct-2020,49203,0,49203
Bhadradri Kothagudem,Nov-2020,76900,0,76900
Bhadradri Kothagudem,Dec-2020,80842,0,80842
Bhadradri Kothagudem,Jan-2021,199340,0,199340
Bhadradri Kothagudem,Feb-2021,163761,0,163761
Bhadradri Kothagudem,Mar-2021,83871,0,83871
Bhadradri Kothagudem,Apr-2021,38456,0,38456
Bhadradri Kothagudem,May-2021,9329,0,9329
Bhadradri Kothagudem,Jun-2021,20090,0,20090
Bhadradri Kothagudem,Jul-2021,63082,0,63082
Bhadradri Kothagudem,Aug-2021,70386,0,70386
Bhadradri Kothagudem,Sep-2021,88451,0,88451
Bhadradri Kothagudem,Oct-2021,104063,0,104063
Bhadradri Kothagudem,Nov-2021,84828,0,84828
Bhadradri Kothagudem,Dec-2021,105685,0,105685
Bhadradri Kothagudem,Jan-2022,84901,0,84901
Bhadradri Kothagudem,Feb-2022,108037,0,108037
Bhadradri Kothagudem,Mar-2022,177140,0,177140
Bhadradri Kothagudem,Apr-2022,180027,0,180027
Bhadradri Kothagudem,May-2022,179018,0,179018
Bhadradri Kothagudem,Jun-2022,167787,0,167787
Bhadradri Kothagudem,Jul-2022,95266,0,95266
Bhadradri Kothagudem,Aug-2022,76299,0,76299
Bhadradri Kothagudem,Sep-2022,87413,0,87413
Bhadradri Kothagudem,Oct-2022,101592,0,101592
Bhadradri Kothagudem,Nov-2022,85953,0,85953
Bhadradri Kothagudem,Dec-2022,115658,0,115658
Hanumakonda,Jan-2021,90800,0,90800
Hanumakonda,Feb-2021,89900,0,89900
Hanumakonda,Mar-2021,91970,80,92050
Hanumakonda,Apr-2021,89430,5,89435
Hanumakonda,May-2021,14510,0,14510
Hanumakonda,Jun-2021,10050,0,10050
Hanumakonda,Jul-2021,40670,0,40670
Hanumakonda,Aug-2021,39220,3,39223
Hanumakonda,Sep-2021,42340,5,42345
Hanumakonda,Oct-2021,38650,5,38655
Hanumakonda,Nov-2021,37910,8,37918
Hanumakonda,Dec-2021,38125,6,38131
Hanumakonda,Jan-2022,42135,8,42143
Hanumakonda,Feb-2022,55408,8,55416
Hanumakonda,Mar-2022,44427,8,44435
Hanumakonda,Apr-2022,44010,8,44018
Hanumakonda,May-2022,44785,7,44792
Hanumakonda,Jun-2022,44169,7,44176
Hanumakonda,Jul-2022,42452,9,42461
Hanumakonda,Aug-2022,33640,0,33640
Hanumakonda,Sep-2022,34774,0,34774
Hanumakonda,Oct-2022,35347,9,35356
Hanumakonda,Nov-2022,35198,0,35198
Hanumakonda,Dec-2022,36985,0,36985
Hyderabad,Jan-2016,1122510,15865,1138375
Hyderabad,Feb-2016,778748,29646,808394
Hyderabad,Mar-2016,1017794,13019,1030813
Hyderabad,Apr-2016,1127738,8402,1136140
Hyderabad,May-2016,1287181,8522,1295703
Hyderabad,Jun-2016,12032661,10284,12042945
Hyderabad,Jul-2016,1096754,17142,1113896
