District,Months,Visitors
Adilabad,Jan-2021,18203
Adilabad,Feb-2021,271255
Adilabad,Mar-2021,15907
Adilabad,Apr-2021,6955
Adilabad,May-2021,1191
Adilabad,Jun-2021,3407
Adilabad,Jul-2021,26885
Adilabad,Aug-2021,25338
Adilabad,Sep-2021,17672
Adilabad,Oct-2021,16095
Adilabad,Nov-2021,73753
Adilabad,Dec-2021,18484
Bhadradri Kothagudem,Jan-2021,199340
Bhadradri Kothagudem,Feb-2021,163761
Bhadradri Kothagudem,Mar-2021,83871
Bhadradri Kothagudem,Apr-2021,38456
Bhadradri Kothagudem,May-2021,9329
Bhadradri Kothagudem,Jun-2021,20090
Bhadradri Kothagudem,Jul-2021,63082
Bhadradri Kothagudem,Aug-2021,70386
Bhadradri Kothagudem,Sep-2021,88451
Bhadradri Kothagudem,Oct-2021,104063
Bhadradri Kothagudem,Nov-2021,84828
Bhadradri Kothagudem,Dec-2021,105685
Hanumakonda,Jan-2021,90800
Hanumakonda,Feb-2021,89900
Hanumakonda,Mar-2021,91970
Hanumakonda,Apr-2021,89430
Hanumakonda,May-2021,14510
Hanumakonda,Jun-2021,10050
Hanumakonda,Jul-2021,40670
Hanumakonda,Aug-2021,39220
Hanumakonda,Sep-2021,42340
Hanumakonda,Oct-2021,38650
Hanumakonda,Nov-2021,37910
Hanumakonda,Dec-2021,38125
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",Jan-2021,828057
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",Feb-2021,657955
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",Mar-2021,589239
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",Apr-2021,216683
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",May-2021,50064
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",Jun-2021,205368
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",Jul-2021,384455
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",Aug-2021,603815
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",Sep-2021,533745
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",Oct-2021,743442
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",Nov-2021,938466
"Hyderabad, Ranga Reddy, Medchal & Vikarabad",Dec-2021,1042809
Jagtial,Jan-2021,154626
Jagtial,Feb-2021,155602
Jagtial,Mar-2021,303738
Jagtial,Apr-2021,74401
Jagtial,May-2021,2555
Jagtial,Jun-2021,43196
Jagtial,Jul-2021,187220
Jagtial,Aug-2021,191483
Jagtial,Sep-2021,169440
Jagtial,Oct-2021,172570
Jagtial,Nov-2021,260498
Jagtial,Dec-2021,255232
Jangaon,Jan-2021,11545
Jangaon,Feb-2021,11440
Jangaon,Mar-2021,11950
Jangaon,Apr-2021,10340
Jangaon,May-2021,3275
Jangaon,Jun-2021,2470
Jangaon,Jul-2021,6580
Jangaon,Aug-2021,7085
Jangaon,Sep-2021,7180
Jangaon,Oct-2021,10360
Jangaon,Nov-2021,6140
Jangaon,Dec-2021,6140
Jayashankar Bhoopalpally,Jan-2021,15700
Jayashankar Bhoopalpally,Feb-2021,15800
Jayashankar Bhoopalpally,Mar-2021,16400
Jayashankar Bhoopalpally,Apr-2021,14900
Jayashankar Bhoopalpally,May-2021,5600
Jayashankar Bhoopalpally,Jun-2021,4400
Jayashankar Bhoopalpally,Jul-2021,9000
Jayashankar Bhoopalpally,Aug-2021,10500
Jayashankar Bhoopalpally,Sep-2021,10700
Jayashankar Bhoopalpally,Oct-2021,11000
Jayashankar Bhoopalpally,Nov-2021,10500
Jayashankar Bhoopalpally,Dec-2021,10900
JogulambaGadwai,Jan-2021,169350
JogulambaGadwai,Feb-2021,400254
JogulambaGadwai,Mar-2021,520014
